Name,Address,Location,Contact_number,Open_days,Open_hours,Rush_hours,Rush_days,Common_Services,Charging_ports,Wheelchair_Access,Hair_steamer,Hair_Dryer,Neck_Duster,Razor,Towels,Scissors,Comb,Curling_iron,Flat_iron,Clippers,Powder_brush,Beard_Liner_Tool,Tool_rack,Glass_windows,Air_condition,Charging_ports,WiFi_Availability,Cleanliness,Seat_count,Seat_brand,Seat_color,Seat_material,Adjustable,Footrest,Headrest,Mirror_type,Mirror_shape,Mirror_size,TV_Brand,TV_count,Waiting_seat_Count,Waiting_seat_type,Gender_Type,Trash_Bins,Air_Freshener,Hand_Dryer,Parking_Capacity,Parking_type,Parking_covered,Payment_methods,Min_price,Max_price,Avarage_bill,Discount_policy,Ongoing_offers,complimentary_items,Service_access_type,appointment_method,Appointment_reminders
Salon Lavish,"6/2,High level Rd, Kirulapana",Kirulapana,774487388,All week,9.00a.m to 9.00 p.m,5.00 p.m - 7.00 p.m,"Saturday, Sunday","hair cut, shaving, hair coloring",yes,no,2,5,3,5,10,4,4,2,4,10,5,4,7,no,yes,yes,no,4,4,modern,Black,leather,yes,no,yes,Wall mounted,Rectangle,4ft * 5ft,Dialog,1,3,bench,Both,yes,no,no,6,outdoor,no,"Cash, Bank transfer",600,1500,1000 - 2000,no,no,no,Both appointment and walk-in,Phone call,no
Scissors,"300 havelock road, colombo 05",Havelock ,114308967,All week,7.30a.m to 11.50 p.m,4.00 p.m to 7.00 p.m,"Saturday, Sunday","hair cut, waxing, massage",yes,yes,1,3,5,6,7,5,6,1,3,10,5,3,4,no,yes,yes,yes,4.5,7,singer,white,vinly,yes,yes,yes,Wall mounted,oval, -,LG,1,1,sofa,Both,yes,no,no,6,outdoor,no,"Cash, Bank transfer, card",550,1100,1000 - 1500,no,yes,no,Walk-in only,Phone call,no
Naturals,"1,4,1 collingwood pl, colombo 06",Wellawatte,773372434,All week,10.00 a.m to 7.00 p.m ,4.00p.m to 6.00 p.m,"Saturday, Sunday","hair cut, hair treatment, massage",yes,no,1,4,4,5,6,3,4,1,3,15,6,4,4,no,yes,no,no,3.5,10,Damro,Black,leather,yes,yes,yes,Wall mounted,square,6ft *6ft,LG,1,4,chair,men,yes,yes,no,4,outdoor,no,"Cash, Bank transfer",600,1000,1500 - 1800,yes,yes,yes,Walk-in only,Phone call,no
Hair me by Anushka,"185,10 havelock road, colombo 05",havelock,774555410,week end,9.00 a.m to 7.30 p.m ,4.00 p.m to 7.00 p.m,Sunday,"facial treatment, waxing, nail polishing",yes,no,1,2,6,5,9,5,5,2,4,8,2,5,6,no,no,no,no,4.7,6,singer,Black,leather,yes,yes,yes,wall mounted,Rectangle,5ft * 3ft,LG,2,5,chair,ladies,yes,yes,yes,3,outdoor,no,"Cash, Card, Bank transfer",400,800,600 - 1000,no,yes,no,Appointment only,Phone call,no
Unique Salon,"W, 181 W.A. Silva Mawatha, Colombo",Wellawatte,771122674,week days,7.00a.m to 9.30 p.m,4.00 p.m to 6.00 p.m,Monday,"hair cut, shaving, hair coloring",yes,no,2,1,5,3,10,5,4,3,1,20,4,3,5,no,yes,no,no,4.4,4,singer,Black,leather,yes,yes,yes,Wall mounted,square,4ft *4ft,LG,1,3,chair,men,yes,yes,no,4,outdoor,yes,Cash,500,800,800 - 1000,no,yes,no,Both appointment and walk-in,Phone call,no
Studio Zee,"20A Guildford Crescent, colombo-07",Independence square,750810972,All week,9.00a.m to 9.00 p.m,12.00 p.m - 6.00 p.m,"Monday, Friday","facial treatment, waxing, nail polishing",yes,no,2,4,3,4,12,3,4,3,2,15,6,4,4,no,yes,yes,no,3.6,5,Damro,Black,leather,yes,yes,yes,Wall mounted,Rectangle,5ft * 3ft,samsung,2,3,sofa,men,yes,no,no,15,indoor,yes,"Cash, Bank transfer",500,800,700 - 1000,no,no,no,Appointment only,"Phone call, Through the website",yes
Martha tilaar ,"One galle face mall L4, Unit 9-10, colombo - 02 ","Galle face, colombo-02",774747434,All week,10.00 a.m to 10.00 p.m ,4.00 p.m to 7.00 p.m,Saturday,"hair cut, hair coloring, hair treatment",yes,yes,1,2,4,5,8,6,5,2,2,10,2,3,5,yes,yes,yes,no,3.2,6,modern,Black,leather,yes,yes,yes,standing,Rectangle,5ft * 4ft,LG,2,5,chair,Both,yes,yes,yes,4,outdoor,no,"Cash, Bank transfer, card",600,1200,800 - 1500,no,yes,no,Both appointment and walk-in,"Phone call, Through the website",yes
Raula Barber shop,"12, Park Gardens, Colombo-05","Kirulapone, Colombo-05",771184982,week days,10.00 a.m to 7.00 p.m ,4.00p.m to 6.00 p.m,"Monday,tuseday","facial treatment, waxing",yes,no,1,2,5,4,6,4,3,1,1,10,4,5,5,no,no,no,no,3,6,Damro,ash,leather,yes,no,yes,standing,Rectangle,5ft *3ft,LG,1,4,chair,men,yes,yes,yes,4,outdoor,no,"Cash, Bank transfer",500,800,500 - 1100,no,no,no,Both appointment and walk-in,"Phone call, Through the website",yes
Salon Jaal,"15A, Maitland Crescent,
Colombo, Sri Lanka",colombo - 07,112694449,week days,10.00 a.m to 6.30 p.m ,4.00 p.m to 5.00 p.m,Monday,"hair cut,hair coloring, waxing",yes,no,2,3,5,4,10,3,6,1,4,8,4,5,3,no,yes,no,no,4.5,4,Damro,Black,vinly,yes,yes,yes,Wall mounted,Rectangle,6ft * 3ft,Dialog,1,4,chair,Both,yes,yes,yes,5,outdoor,yes,"Cash, Card, Bank transfer",550,1300,700 - 1500,no,yes,no,Both appointment and walk-in,Through the website,yes
salon Sam,"180 Park road, colombo-05",Colombo-05,775363473,All week,8.00a.m to 6.00 p.m,4.00 p.m to 6.00 p.m,"Saturday, Sunday","hair cut, shaving, hair coloring",yes,yes,2,4,3,3,7,5,5,3,2,25,5,4,6,yes,yes,yes,yes,4.7,6,modern,Black,leather,yes,no,yes,Wall mounted,Rectangle,5ft *4ft,LG,1,3,bench,Both,yes,yes,no,7,outdoor,yes,Cash,650,1000,800 - 1200,no,yes,no,Both appointment and walk-in,"Phone call, Through the website",yes
